PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,sample_idx,geo_accession,singlecellprobability,submission_year
-177.82759,37.739223,-82.4442,97.645386,-84.87822,30.554266,40.189854,20.535688,-39.152504,106.780716,-7.4480124,-43.38875,16.657888,51.88169,-1.6759135,17.879671,-7.9412537,-14.126278,27.192192,-38.66316,-11.814237,30.575443,-20.57596,34.825264,-34.09741,9.110795,16.896324,-33.804874,-6.5501275,60.145542,-51.923805,-8.731913,10.250752,-5.553495,-3.5965147,40.001057,14.470284,17.65748,-21.308817,17.489191,-1.0323473,10.970263,3.6204126,23.577984,-6.4086637,7.529042,6.277913,24.479395,-0.19469374,8.943099,6716,GSM1357457,0.0,2014
-187.06392,-126.59652,-74.05793,-23.801035,17.365969,28.2617,5.1206093,51.8292,-8.6527815,-1.0071478,27.244503,-24.611366,-46.61204,-28.234722,41.27006,-26.943716,-22.505236,-16.25433,6.6201544,6.778571,19.979765,-18.502317,39.191402,-11.926594,1.67185,12.504786,-13.255272,23.538897,35.48495,5.921591,-0.2380211,-34.711346,1.2003067,-9.223059,-18.93649,-42.701126,6.9006987,-20.66778,14.218868,-6.53716,6.6964307,14.162296,20.066946,3.6135514,-4.9666185,-12.861119,-1.3436695,-11.386235,-6.6896987,-21.923796,6774,GSM1361998,0.00814880927754356,2014
-180.10039,-180.91223,14.338566,-31.308796,41.226746,143.116,20.680464,21.931427,-36.829304,37.16386,-40.467525,68.58964,-16.522078,18.996895,-34.5138,-29.759134,-21.340649,9.72485,-1.1904831,30.65984,-32.72925,36.06241,-14.682064,4.0805864,3.2565167,3.3956695,23.405104,25.883575,-3.7791722,15.553382,-1.8253924,-21.376253,2.723733,13.811447,-15.168934,-28.252676,4.765434,6.4383483,4.070303,-4.0731144,-5.5586376,22.811632,30.307402,11.275081,15.842323,43.50298,8.164036,4.8618455,-3.6741319,-0.72464436,7133,GSM1369192,0.017253568557122612,2014
-181.54187,-180.92407,29.479248,-59.82504,67.65268,140.07991,-1.1971912,26.846825,-31.950493,31.640316,-28.842815,68.51871,7.038964,19.880274,-29.400087,-10.69385,-9.950449,17.137089,15.980803,33.03615,-21.632317,42.476044,-11.663919,9.126742,-2.0256984,11.615404,17.864445,29.510202,0.9148732,20.943487,0.17332456,-26.524107,6.6096816,10.340578,-16.624733,-39.92672,9.171927,3.8702803,-3.9394345,0.6425056,-1.7134695,19.9738,28.158735,14.128579,16.212896,43.469807,15.778137,15.787728,-12.428208,-1.5665307,7145,GSM1369204,0.09045923610803945,2014
170.79346,29.341887,44.02246,-54.710117,123.71523,-16.440294,2.367139,9.619394,47.22309,18.106377,32.331352,-9.40382,-10.074302,-29.347246,18.30266,16.599009,3.0270567,2.0860753,-67.95897,-29.968088,-6.977257,8.051149,-45.47133,-23.09788,15.755267,6.141295,-0.5265706,22.430689,0.3605435,-27.139917,7.094047,-47.973877,-42.128544,-5.4765444,21.449886,6.5239925,3.1262453,-1.6385846,-4.5155993,-18.1766,37.184006,-13.371133,10.908958,10.873703,-18.013966,14.347964,3.5494807,13.831445,3.7104294,-13.847978,7485,GSM1376157,0.49615318381792206,2014
-186.00041,-118.309044,-18.562374,2.0272899,-58.36965,-67.98336,62.750317,84.89329,13.759841,-21.36791,-21.051092,-5.032489,41.91333,17.990345,-46.230637,12.034797,54.188766,-4.717002,-13.80204,-0.7038682,31.526995,32.82779,13.817105,-108.99774,-0.41525403,-28.708603,-6.471548,-33.889107,-8.901043,35.104073,-10.68802,8.7555275,14.580882,10.367075,3.1979966,-42.48289,-8.739757,4.2848225,4.0127234,-42.387188,5.695527,-15.675657,-40.503773,2.8640525,-30.913374,-8.443797,-39.540478,12.893534,-39.582973,8.963683,8197,GSM1400964,0.0032044273815090823,2014
-177.67406,5.7238626,82.8099,-81.47013,76.1365,-73.664185,-13.062621,15.872284,-45.256714,52.386616,-38.131756,4.259318,56.991,-5.6080613,-48.377922,13.652331,33.37443,-78.28991,-61.103302,-46.493732,-1.7118539,-52.09431,37.112362,-13.543689,-39.181564,96.58567,-27.971548,27.44562,-14.232265,-8.00487,-1.6386436,27.820055,-1.5141146,14.9676,-3.4244769,17.448612,13.237365,-18.290407,24.374228,30.30801,4.4310794,1.7033458,24.436724,16.426908,4.296269,3.82575,0.055875648,-14.653919,-26.812489,31.866146,8520,GSM1409338,0.05780995630853397,2014
-170.14824,-130.91652,-19.2762,-52.608315,51.78762,40.380898,-135.33136,-69.05779,14.54923,6.063567,25.683613,-2.1138065,43.19971,3.7423387,27.984884,-11.998782,7.1047754,-3.2719862,-25.177557,18.861427,14.525865,62.959152,8.054812,-26.713873,-27.340961,7.2398252,-0.8857142,3.3016565,16.88669,0.20766595,30.505186,9.10367,34.461773,-15.987755,-10.2291,13.920775,36.483025,0.42319188,-17.566324,3.1493068,17.13583,4.4552608,14.953774,18.359774,-1.6545674,-4.792711,2.5262413,0.8542108,-8.158029,-0.72118783,8621,GSM1411012,0.00143343513195747,2014
168.26381,132.4541,133.65623,69.57644,-36.74572,-15.415147,44.94626,-7.3300657,30.5214,49.26852,70.52556,-7.4360957,-3.5335567,-22.911165,16.657934,19.71771,-30.086946,2.536454,-27.453928,-18.369913,15.285768,46.760273,-62.026306,21.212147,-55.328327,20.002687,11.506683,-47.867416,18.914968,5.0490665,-33.434933,-3.7495072,-13.672044,-16.758766,32.398094,11.871866,22.677046,35.9684,6.189586,-10.224753,19.069216,-5.7695365,-0.20820925,24.178963,-29.547544,35.41487,5.850276,-16.322458,16.423197,-30.357542,9117,GSM1435505,0.19970957851041388,2014
-167.2405,65.637436,183.95836,-111.058525,-52.20453,-157.7409,22.900766,-19.604195,-26.325329,-20.202312,-3.8195195,-17.724808,14.5914135,-37.91003,-55.68993,3.4392276,2.1417634,-12.480856,-36.265133,-53.298462,7.115482,7.928872,15.529572,-13.543334,-3.411539,16.690155,28.030945,-16.840788,19.02787,-23.198078,-5.4660826,32.336315,9.911987,5.399383,18.403757,-14.834881,-4.819487,17.723928,6.4298277,-16.90875,4.688121,24.237484,-1.5829662,-20.631659,6.0473294,17.495728,9.121763,4.7193737,8.720328,-35.27161,9202,GSM1437708,0.020345289947075584,2014
