gene_symbol,tsne_1,tsne_2
STARD3NL,94.62378,-14.852881
CD9,102.837616,-24.362576
HHATL,6.2984195,-20.48966
NCAPD2,92.485504,-35.43233
IFFO1,88.82516,15.870508
GIPR,65.499306,13.890067
PHF7,60.334538,0.086404555
SEMA3G,27.518831,-21.668686
NISCH,86.30177,-43.778305
STAB1,64.897316,54.78372
FUZ,63.19943,-9.228502
SLC6A13,11.330648,-24.091446
IDS,115.35221,-35.50907
PRSS3,16.518375,-10.847905
ZNF200,86.07522,3.3107283
CD4,68.60047,53.383907
LRRC23,55.912674,-6.6746597
BTK,67.179375,53.60191
HFE,69.581345,3.6369104
SCMH1,72.228226,-32.973255
FYN,106.55531,-0.2433266
HIVEP2,103.439415,-5.6814685
FMO1,13.243141,-19.703262
ELOA,100.758125,-29.596346
LYPLA2,86.95951,-34.374657
CLCN6,72.490845,-30.922009
MRC2,63.705734,-34.73488
NME1-NME2,46.479214,-5.741294
SLC6A7,-4.384856,-27.36911
TSPAN9,57.20444,-32.022503
BTBD7,85.48023,3.046842
APBA3,76.65134,-21.961634
MKS1,78.94677,-1.6816826
ABHD5,99.72592,-3.6963272
ANOS1,38.2476,-30.181986
AKAP8L,81.92315,-39.491955
MBTD1,84.70927,-2.0025868
UTP18,91.17737,-15.993003
RNF216,108.774376,-22.404716
TTC19,105.4047,-15.662743
PTBP1,107.235466,-47.954998
DPF1,42.101307,-22.732119
SYT7,49.80393,-28.66884
LARS2,90.42437,-9.9318695
PIK3C2A,100.180725,-24.737621
PLAUR,98.5239,13.963786
ANLN,58.884468,-56.375805
WIZ,78.3753,-36.682953
RABGAP1,106.39603,-23.244532
DCN,40.43064,-38.303776
QPCTL,63.502697,-17.7612
PPP5C,89.23639,-36.164165
CEP68,97.08774,-2.9848888
MAP4K3,61.14127,-37.975456
ZBTB32,31.504292,23.840792
TYROBP,64.650185,55.828934
LDAF1,77.7779,10.974991
GABRA3,23.807215,-27.407843
BRCA1,93.05488,-3.0647306
ERCC1,90.75343,-30.139376
CD22,66.55091,54.443165
SEMA3B,48.323944,-28.879736
MBTPS2,76.94998,-9.09341
PRICKLE3,65.47293,-9.210471
LTF,47.90879,72.31475
EXTL3,99.71941,-17.103222
NR1H4,9.498562,-32.172016
ELOVL5,99.97461,-32.626385
ALOX5,63.231297,55.705383
KDM5D,62.150917,17.83436
CALCOCO1,100.7294,-20.59217
UBR7,90.75363,-17.77882
MAP4K5,105.722664,-23.004364
EHD3,65.00449,-1.0572727
PSMC4,86.484886,-23.30094
MAN2B2,101.367035,-18.795982
SLC7A14,64.502,28.53218
CLDN11,53.948017,21.20891
SLC25A39,89.68296,-39.805264
MVP,116.67105,-20.148006
NUB1,111.210724,-20.591002
PGM3,99.72692,-24.566362
RWDD2A,57.848434,-6.3231015
CLK1,115.45877,-23.88584
POLR3B,73.9618,-7.972578
ANGEL1,74.06594,-28.432783
RNF14,99.640526,-15.1213255
DNASE1L1,63.301712,-22.279364
DDX11,90.92549,-32.99497
HEBP1,70.82601,-23.613651
GPRC5A,58.424923,-33.843807
MAMLD1,45.635147,-20.059368
CD6,67.36374,58.977676
TACC3,91.07035,-33.5936
UFL1,96.86112,-12.506443
POLA2,77.54684,-10.824242
ZC3H3,62.33932,-21.545551
CAPN1,89.768654,-42.64038
ACP3,64.2135,50.082066
MDH1,97.89873,-41.773643
